Date;EventName;Currency;OtherEventsAtTheSameTime;Actual;Expected;Diff;UpTicksIn_1m;DownTicksIn_1m;UpTicksIn_5m;DownTicksIn_5m;UpTicksIn_10m;DownTicksIn_10m;UpTicksIn_15m;DownTicksIn_15m;UpTicksIn_30m;DownTicksIn_30m;UpTicksIn_60m;DownTicksIn_60m;UpTicksIn_120m;DownTicksIn_120m
03.01.2024 15:00;ISM Manufacturing PMI;USD;USD_JOLTS Job Openings;47,4;47,2;2;48;-7;48;-7;48;-7;48;-7;48;-8;48;-32;48;-32
03.01.2024 15:00;JOLTS Job Openings;USD;USD_ISM Manufacturing PMI;8,79;8,84;-5;48;-7;48;-7;48;-7;48;-7;48;-8;48;-32;48;-32
04.01.2024 13:15;ADP Non-Farm Employment Change;USD;;164;120;44;8;-13;8;-13;8;-13;8;-13;8;-37;8;-37;21;-37
04.01.2024 13:30;Unemployment Claims;USD;;202;217;-15;0;-33;0;-33;0;-33;0;-33;2;-33;2;-33;33;-33
05.01.2024 13:30;Average Hourly Earnings m/m;USD;USD_Non-Farm Employment Change, USD_Unemployment Rate;0,4;0,3;1;2;-90;2;-90;2;-90;2;-90;8;-90;55;-90;156;-90
05.01.2024 13:30;Non-Farm Employment Change;USD;USD_Average Hourly Earnings m/m, USD_Unemployment Rate;216;168;48;2;-90;2;-90;2;-90;2;-90;8;-90;55;-90;156;-90
05.01.2024 13:30;Unemployment Rate;USD;USD_Average Hourly Earnings m/m, USD_Non-Farm Employment Change;3,7;3,8;-1;2;-90;2;-90;2;-90;2;-90;8;-90;55;-90;156;-90
05.01.2024 15:00;ISM Services PMI;USD;;50,6;52,5;-19;81;0;81;0;86;0;99;0;99;0;99;0;99;0
11.01.2024 13:30;Core CPI m/m;USD;USD_CPI m/m, USD_CPI y/y, USD_Unemployment Claims;0,3;0,3;0;45;-99;45;-99;45;-99;45;-99;45;-108;45;-117;45;-120
11.01.2024 13:30;CPI m/m;USD;USD_Core CPI m/m, USD_CPI y/y, USD_Unemployment Claims;0,3;0,2;1;45;-99;45;-99;45;-99;45;-99;45;-108;45;-117;45;-120
11.01.2024 13:30;CPI y/y;USD;USD_Core CPI m/m, USD_CPI m/m, USD_Unemployment Claims;3,4;3,2;2;45;-99;45;-99;45;-99;45;-99;45;-108;45;-117;45;-120
11.01.2024 13:30;Unemployment Claims;USD;USD_Core CPI m/m, USD_CPI m/m, USD_CPI y/y;202;209;-7;45;-99;45;-99;45;-99;45;-99;45;-108;45;-117;45;-120
12.01.2024 13:30;Core PPI m/m;USD;USD_PPI m/m;0,0;0,2;-2;38;0;38;0;38;0;38;0;38;-13;38;-13;72;-13
12.01.2024 13:30;PPI m/m;USD;USD_Core PPI m/m;-0,1;0,1;-2;38;0;38;0;38;0;38;0;38;-13;38;-13;72;-13
16.01.2024 13:30;Empire State Manufacturing Index;USD;;-43,7;-4,9;-388;34;-2;34;-2;34;-2;40;-2;40;-13;40;-13;40;-24
17.01.2024 13:30;Core Retail Sales m/m;USD;USD_Retail Sales m/m;0,4;0,2;2;0;-38;0;-38;0;-38;0;-38;0;-38;0;-38;0;-48
17.01.2024 13:30;Retail Sales m/m;USD;USD_Core Retail Sales m/m;0,6;0,4;2;0;-38;0;-38;0;-38;0;-38;0;-38;0;-38;0;-48
18.01.2024 13:30;Unemployment Claims;USD;;187;206;-19;15;-32;15;-32;15;-32;15;-32;15;-34;15;-34;15;-37
19.01.2024 15:00;Prelim UoM Consumer Sentiment;USD;;78,8;69,8;90;18;-7;18;-7;18;-17;18;-22;18;-22;18;-22;18;-22
24.01.2024 14:45;Flash Manufacturing PMI;USD;USD_Flash Services PMI;50,3;47,6;27;0;-43;0;-43;0;-46;0;-49;0;-61;0;-61;0;-71
24.01.2024 14:45;Flash Services PMI;USD;USD_Flash Manufacturing PMI;52,9;51,4;15;0;-43;0;-43;0;-46;0;-49;0;-61;0;-61;0;-71
25.01.2024 13:30;Advance GDP q/q;USD;USD_Unemployment Claims;3,3;2,0;13;17;-40;17;-40;21;-40;21;-40;21;-46;21;-70;21;-105
25.01.2024 13:30;Unemployment Claims;USD;USD_Advance GDP q/q;214;199;15;17;-40;17;-40;21;-40;21;-40;21;-46;21;-70;21;-105
26.01.2024 13:30;Core PCE Price Index m/m;USD;;0,2;0,2;0;24;-25;24;-25;24;-37;24;-37;24;-37;24;-37;24;-40
30.01.2024 15:00;CB Consumer Confidence;USD;USD_JOLTS Job Openings;114,8;114,2;6;16;-36;16;-36;16;-36;16;-38;16;-46;16;-46;16;-46
30.01.2024 15:00;JOLTS Job Openings;USD;USD_CB Consumer Confidence;9,03;8,73;30;16;-36;16;-36;16;-36;16;-38;16;-46;16;-46;16;-46
31.01.2024 13:15;ADP Non-Farm Employment Change;USD;;107;148;-41;24;0;24;0;24;0;24;0;63;0;63;0;97;0
